Time,Target Motor Position,Motor Position,Motor Velocity,Motor Applied Torque,Motor calculated Torque,Ankle Position,Ankle Velocity,Ankle Applied Torque,Ankle Calculated Torque,Kp,Kd
5.800000000000078,1.0,0.9997881054878235,0.002353323856368661,9.534414857625961e-07,9.534414857625961e-07,-1.3196826330386102e-05,0.000633406569249928,0.000686275539919734,0.000686275539919734,10.0,0.9
5.808333333333412,1.0,0.9997881054878235,0.0023533243220299482,9.536510106045171e-07,9.536510106045171e-07,-1.3196826330386102e-05,0.0006334060453809798,0.0006862761219963431,0.0006862761219963431,10.0,0.9
5.8166666666667455,1.0,0.9997881054878235,0.0023533233907073736,9.536510106045171e-07,9.536510106045171e-07,-1.3196826330386102e-05,0.0006334067438729107,0.0006862766458652914,0.0006862766458652914,10.0,0.9
5.825000000000079,1.0,0.9997881054878235,0.002353323856368661,9.540701739751967e-07,9.540701739751967e-07,-1.3196826330386102e-05,0.0006334069184958935,0.0006862759473733604,0.0006862759473733604,10.0,0.9
5.833333333333413,1.0,0.9997881054878235,0.002353324554860592,9.540701739751967e-07,9.540701739751967e-07,-1.3196826330386102e-05,0.0006334065110422671,0.0006862757727503777,0.0006862757727503777,10.0,0.9
5.841666666666747,1.0,0.9997881054878235,0.0023533247876912355,9.530223792353354e-07,9.530223792353354e-07,-1.3196826330386102e-05,0.0006334056961350143,0.000686276180204004,0.000686276180204004,10.0,0.9
5.8500000000000805,1.0,0.9997881054878235,0.0023533236235380173,9.530223792353354e-07,9.530223792353354e-07,-1.3196826330386102e-05,0.0006334062200039625,0.0006862769951112568,0.0006862769951112568,10.0,0.9
5.858333333333414,1.0,0.9997881054878235,0.0023533229250460863,9.53860535446438e-07,9.53860535446438e-07,-1.3196826330386102e-05,0.0006334070349112153,0.0006862764712423086,0.0006862764712423086,10.0,0.9
5.866666666666748,1.0,0.9997881054878235,0.0023533229250460863,9.53860535446438e-07,9.53860535446438e-07,-1.3196826330386102e-05,0.0006334070931188762,0.0006862756563350558,0.0006862756563350558,10.0,0.9
5.875000000000082,1.0,0.9997881054878235,0.00235332315787673,9.544892236590385e-07,9.544892236590385e-07,-1.3196826330386102e-05,0.0006334073259495199,0.0006862755981273949,0.0006862755981273949,10.0,0.9
5.8833333333334155,1.0,0.9997881054878235,0.0023533240891993046,9.544892236590385e-07,9.544892236590385e-07,-1.3196826330386102e-05,0.0006334070349112153,0.0006862753652967513,0.0006862753652967513,10.0,0.9
5.891666666666749,1.0,0.9997881054878235,0.0023533240891993046,9.534414857625961e-07,9.534414857625961e-07,-1.3196826330386102e-05,0.0006334069184958935,0.0006862756563350558,0.0006862756563350558,10.0,0.9
5.900000000000083,1.0,0.9997881054878235,0.0023533240891993046,9.534414857625961e-07,9.534414857625961e-07,-1.3196826330386102e-05,0.0006334068020805717,0.0006862757727503777,0.0006862757727503777,10.0,0.9
5.908333333333417,1.0,0.9997881054878235,0.0023533236235380173,9.534414857625961e-07,9.534414857625961e-07,-1.3196826330386102e-05,0.0006334071513265371,0.0006862758891656995,0.0006862758891656995,10.0,0.9
5.9166666666667505,1.0,0.9997881054878235,0.002353323856368661,9.534414857625961e-07,9.534414857625961e-07,-1.3196826330386102e-05,0.000633406569249928,0.000686275539919734,0.000686275539919734,10.0,0.9
5.925000000000084,1.0,0.9997881054878235,0.0023533243220299482,9.536510106045171e-07,9.536510106045171e-07,-1.3196826330386102e-05,0.0006334060453809798,0.0006862761219963431,0.0006862761219963431,10.0,0.9
5.933333333333418,1.0,0.9997881054878235,0.0023533233907073736,9.536510106045171e-07,9.536510106045171e-07,-1.3196826330386102e-05,0.0006334067438729107,0.0006862766458652914,0.0006862766458652914,10.0,0.9
5.941666666666752,1.0,0.9997881054878235,0.002353323856368661,9.540701739751967e-07,9.540701739751967e-07,-1.3196826330386102e-05,0.0006334069184958935,0.0006862759473733604,0.0006862759473733604,10.0,0.9
5.950000000000085,1.0,0.9997881054878235,0.002353324554860592,9.540701739751967e-07,9.540701739751967e-07,-1.3196826330386102e-05,0.0006334065110422671,0.0006862757727503777,0.0006862757727503777,10.0,0.9
5.958333333333419,1.0,0.9997881054878235,0.0023533247876912355,9.530223792353354e-07,9.530223792353354e-07,-1.3196826330386102e-05,0.0006334056961350143,0.000686276180204004,0.000686276180204004,10.0,0.9
5.966666666666753,1.0,0.9997881054878235,0.0023533236235380173,9.530223792353354e-07,9.530223792353354e-07,-1.3196826330386102e-05,0.0006334062200039625,0.0006862769951112568,0.0006862769951112568,10.0,0.9
5.975000000000087,1.0,0.9997881054878235,0.0023533229250460863,9.53860535446438e-07,9.53860535446438e-07,-1.3196826330386102e-05,0.0006334070349112153,0.0006862764712423086,0.0006862764712423086,10.0,0.9
5.98333333333342,1.0,0.9997881054878235,0.0023533229250460863,9.53860535446438e-07,9.53860535446438e-07,-1.3196826330386102e-05,0.0006334070931188762,0.0006862756563350558,0.0006862756563350558,10.0,0.9
5.991666666666754,1.0,0.9997881054878235,0.00235332315787673,9.544892236590385e-07,9.544892236590385e-07,-1.3196826330386102e-05,0.0006334073259495199,0.0006862755981273949,0.0006862755981273949,10.0,0.9
6.000000000000088,1.0,0.9997881054878235,0.0023533240891993046,9.544892236590385e-07,9.544892236590385e-07,-1.3196826330386102e-05,0.0006334070349112153,0.0006862753652967513,0.0006862753652967513,10.0,0.9
